SMILES,SMILES_rdkit_final,logP,fu_in_vitro,REF_logP,REF_Fup
Cn1ccc(-c2ccc(Cc3cc(C(=O)N[C@@H]4CCCC[C@H]4O)nc4c3ccn4C)cn2)n1,Cn1ccc(-c2ccc(Cc3cc(C(=O)NC4CCCCC4O)nc4c3ccn4C)cn2)n1,2.99,0.12,CHEMBL,CHEMBL
Cn1ccc(-c2ccc(Cc3cc(C(=O)NC4CCOCC4)nc4c3ccn4C)cc2)n1,Cn1ccc(-c2ccc(Cc3cc(C(=O)NC4CCOCC4)nc4c3ccn4C)cc2)n1,3.47,0.02,CHEMBL,CHEMBL
Cn1ccc(-c2ccc(Cc3cc(C(=O)N[C@@H]4CCOC[C@H]4O)nc4c3ccn4C)cc2)n1,Cn1ccc(-c2ccc(Cc3cc(C(=O)NC4CCOCC4O)nc4c3ccn4C)cc2)n1,2.44,0.02,CHEMBL,CHEMBL
CN1CCC(c2ccc3nc(Nc4ccc(C(F)(F)F)cn4)[nH]c3c2)CC1,CN1CCC(c2ccc3nc(Nc4ccc(C(F)(F)F)cn4)[nH]c3c2)CC1,4.53,0.134,CHEMBL,CHEMBL
CN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(-c4cncnc4)cc23)CC1,CN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(-c4cncnc4)cc23)CC1,5.04,0.096,CHEMBL,CHEMBL
CN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(-c4ncn(C)n4)cc23)CC1,CN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(-c4ncn(C)n4)cc23)CC1,4.37,0.17,CHEMBL,CHEMBL
CN1CCC(c2nnc(-c3cnc(Nc4ccc5c(c4)C(C)(C)OC5=O)nc3N[C@H](CO)c3ccccc3)o2)CC1,CN1CCC(c2nnc(-c3cnc(Nc4ccc5c(c4)C(C)(C)OC5=O)nc3NC(CO)c3ccccc3)o2)CC1,4.63,0.057,CHEMBL,CHEMBL
CN1CCC(c2noc(-c3cnc(Nc4ccc5c(c4)C(C)(C)OC5=O)nc3N[C@H](CO)c3ccccc3)n2)CC1,CN1CCC(c2noc(-c3cnc(Nc4ccc5c(c4)C(C)(C)OC5=O)nc3NC(CO)c3ccccc3)n2)CC1,4.63,0.02,CHEMBL,CHEMBL
Cn1ccc(CCC[N+]23CCC(CC2)[C@@H](OC(=O)C2(C4=CC=CC4)CCCCCC2)C3)n1,Cn1ccc(CCC[N+]23CCC(CC2)C(OC(=O)C2(C4=CC=CC4)CCCCCC2)C3)n1,4.73,0.06,CHEMBL,CHEMBL
CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1,CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1,4.01,0.024333333,CHEMBL,CHEMBL
N#Cc1ccc(cc1)NC(=N[C@@H]1CCN([C@H](C1)c1nc2c([nH]1)cccc2)C)O,CN1CCC(N=C(O)Nc2ccc(C#N)cc2)CC1c1nc2ccccc2[nH]1,3.39,0.091,,Watanabe
CN1CCC(CC1)NC(=O)c1ccc(cc1)Oc1ccc(cc1)C#C[C@]1(O)CN2CCC1CC2,CN1CCC(NC(=O)c2ccc(Oc3ccc(C#CC4(O)CN5CCC4CC5)cc3)cc2)CC1,3.11,0.41,,Watanabe
CN1CC[C@H](C[C@@H]1C1=NC2=CC=CC=C2N1)NC(=O)NC1=CC=C(C=C1)C#N,CN1CCC(NC(=O)Nc2ccc(C#N)cc2)CC1c1nc2ccccc2[nH]1,2.28,0.07,DRUGBANK,Watanabe
CN1CC[C@H](S(=O)(=O)c2c(Cl)ccc(NC(=O)Nc3cccc(Cl)c3Cl)c2O)C1,CN1CCC(S(=O)(=O)c2c(Cl)ccc(NC(=O)Nc3cccc(Cl)c3Cl)c2O)C1,4.47,0.00021,CHEMBL,CHEMBL
CN1CCC(S(=O)(=O)c2c(Cl)ccc(NC(=O)Nc3cccc(Cl)c3Cl)c2O)CC1,CN1CCC(S(=O)(=O)c2c(Cl)ccc(NC(=O)Nc3cccc(Cl)c3Cl)c2O)CC1,4.86,0.001,CHEMBL,CHEMBL
CN1CCC(S(=O)(=O)c2c(Cl)ccc(NC(=O)Nc3cccc(F)c3Cl)c2O)CC1,CN1CCC(S(=O)(=O)c2c(Cl)ccc(NC(=O)Nc3cccc(F)c3Cl)c2O)CC1,4.35,0.0013,CHEMBL,CHEMBL
CN1CCC2(CC1)CN=C(c1c2[nH]c(c1)c1ccnc(c1)N=C(c1ccc2c(c1)cccc2)O)O,CN1CCC2(CC1)CN=C(O)c1cc(-c3ccnc(N=C(O)c4ccc5ccccc5c4)c3)[nH]c12,,0.005,,Watanabe
CN1CCC2(CC1)CNC(=O)c1cc(-c3ccnc(NC(=O)c4ccc5ccccc5c4)c3)[nH]c12,CN1CCC2(CC1)CNC(=O)c1cc(-c3ccnc(NC(=O)c4ccc5ccccc5c4)c3)[nH]c12,4.19,0.005,CHEMBL,CHEMBL
CN1CCC2(CC1)CNC(=O)c1cc(-c3ccnc(NC(=O)c4cccc(OC(F)(F)F)c4)c3)[nH]c12,CN1CCC2(CC1)CNC(=O)c1cc(-c3ccnc(NC(=O)c4cccc(OC(F)(F)F)c4)c3)[nH]c12,3.93,0.027,CHEMBL,CHEMBL
CN1CCC2(CCN(c3ncc(-c4ccc5c(Nc6cnccn6)ccnc5c4)cn3)C2)C1,CN1CCC2(CCN(c3ncc(-c4ccc5c(Nc6cnccn6)ccnc5c4)cn3)C2)C1,3.76,0.3,CHEMBL,CHEMBL
[H]C12CC3=C4C(OC5C(=O)CCC1C45CCN2C)=C(O)C=C3,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,1.57,0.86,HTTK,HTTK
Cn1ccc2c(Cc3ccc(-c4nccs4)cc3)cc(C(=O)N[C@@H]3CCOC[C@H]3O)nc21,Cn1ccc2c(Cc3ccc(-c4nccs4)cc3)cc(C(=O)NC3CCOCC3O)nc21,3.17,0.02,CHEMBL,CHEMBL
CN1CCc2c(cccc2C(=O)NCC2(N3CCN(c4ccccc4)CC3)CCCCC2)C1,CN1CCc2c(cccc2C(=O)NCC2(N3CCN(c4ccccc4)CC3)CCCCC2)C1,3.93,0.165,CHEMBL,CHEMBL
CN1CCc2cc(-c3cnc4[nH]cc(C(=O)c5ccccc5Cl)c4c3)ccc2C1,CN1CCc2cc(-c3cnc4[nH]cc(C(=O)c5ccccc5Cl)c4c3)ccc2C1,5.1,0.035,CHEMBL,CHEMBL
CN1CCc2ccc(-c3cnc4[nH]cc(C(=O)c5ccccc5Cl)c4c3)cc2C1,CN1CCc2ccc(-c3cnc4[nH]cc(C(=O)c5ccccc5Cl)c4c3)cc2C1,5.1,0.034,CHEMBL,CHEMBL
CN(C)C(=O)C1CCC(NC(=O)C(=O)NC2=CC=C(Cl)C=N2)C(C1)NC(=O)C1=NC2=C(CN(C)CC2)S1,CN1CCc2nc(C(=O)NC3CC(C(=O)N(C)C)CCC3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1,1.03,0.5,HTTK,HTTK
CN1CCCC(CN(C)C(=O)Cn2c(-c3ccccc3)c(C3CCCCC3)c3ccc(-c4noc(=O)[nH]4)cc32)C1,CN1CCCC(CN(C)C(=O)Cn2c(-c3ccccc3)c(C3CCCCC3)c3ccc(-c4noc(=O)[nH]4)cc32)C1,5.5,0.979,CHEMBL,CHEMBL
CN1CCCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,CN1CCCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,1.32,0.48,CHEMBL,CHEMBL
CN1CCCC1c1nc(O)c(O)c(C(=O)NCc2ccc(F)cc2)n1,CN1CCCC1c1nc(O)c(O)c(C(=O)NCc2ccc(F)cc2)n1,1.72,0.03,CHEMBL,CHEMBL
CN1CCCC1CC1=CNC2=CC=C(CCS(=O)(=O)C3=CC=CC=C3)C=C12,CN1CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,3.54,0.15,HTTK,HTTK
CN1CCCc2c1nc(N1CCC3(CC1)C(=O)N(CCO)c1cc(F)cc(F)c13)[nH]c2=O,CN1CCCc2c1nc(N1CCC3(CC1)C(=O)N(CCO)c1cc(F)cc(F)c13)[nH]c2=O,1.31,0.022,CHEMBL,CHEMBL
CN1CCCc2c1nc(N1CCC3(CC1)CN(CCO)c1cc(F)cc(F)c13)[nH]c2=O,CN1CCCc2c1nc(N1CCC3(CC1)CN(CCO)c1cc(F)cc(F)c13)[nH]c2=O,1.78,0.005,CHEMBL,CHEMBL
CN1CCCCC1(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)[nH]1,CN1CCCCC1(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)[nH]1,1.88,0.08,CHEMBL,CHEMBL
CN1CCCCC1(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,CN1CCCCC1(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,1.89,0.38,CHEMBL,CHEMBL
CN1CCCCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,CN1CCCCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,1.71,0.453333333,CHEMBL,CHEMBL
CN1CCCCC1c1nc(O)c(O)c(C(=O)NCc2ccc(F)cc2)n1,CN1CCCCC1c1nc(O)c(O)c(C(=O)NCc2ccc(F)cc2)n1,2.11,0.052,CHEMBL,CHEMBL
CN1CCCN(c2ncc(-c3ccc4/c(=N/c5cnccn5)ccn(C)c4c3)cn2)CC1,CN1CCCN(c2ncc(-c3ccc4c(=Nc5cnccn5)ccn(C)c4c3)cn2)CC1,2.8,0.85,CHEMBL,CHEMBL
CN1CCCN(c2ncc(-c3ccc4c(N(C)c5cnccn5)ccnc4c3)cn2)CC1,CN1CCCN(c2ncc(-c3ccc4c(N(C)c5cnccn5)ccnc4c3)cn2)CC1,3.39,0.33,CHEMBL,CHEMBL
CN1CCCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,CN1CCCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,3.37,0.25,CHEMBL,CHEMBL
CN1CCN(C(=O)c2cc(F)ccc2CNC(=O)c2nc(C(C)(C)C)n(C)c(=O)c2O)CC1,CN1CCN(C(=O)c2cc(F)ccc2CNC(=O)c2nc(C(C)(C)C)n(C)c(=O)c2O)CC1,1.24,0.34,CHEMBL,CHEMBL
CN1CCN(CC1)C(=O)C1=CC2=CC(Cl)=CC=C2N1,CN1CCN(C(=O)c2cc3cc(Cl)ccc3[nH]2)CC1,2.31,0.46,HTTK,
CN1CCN(C(=O)c2ccc(-c3ccc4ncc(-c5ccc(C#N)cc5)n4c3)cc2)CC1,CN1CCN(C(=O)c2ccc(-c3ccc4ncc(-c5ccc(C#N)cc5)n4c3)cc2)CC1,3.93,0.003,CHEMBL,CHEMBL
CN1CCN(C(=O)c2ccc(-c3ccc4ncc(-c5ccc(C#N)cc5)n4n3)cc2)CC1,CN1CCN(C(=O)c2ccc(-c3ccc4ncc(-c5ccc(C#N)cc5)n4n3)cc2)CC1,3.32,0.001,CHEMBL,CHEMBL
CN1CCN(C(=O)c2ccc(-c3cn4c(-c5ccc(C#N)cc5)cnc4cn3)cc2)CC1,CN1CCN(C(=O)c2ccc(-c3cn4c(-c5ccc(C#N)cc5)cnc4cn3)cc2)CC1,3.32,0.016,CHEMBL,CHEMBL
CN1CCN(C(=O)c2cnccn2)C(C)(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)[nH]2)C1,CN1CCN(C(=O)c2cnccn2)C(C)(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)[nH]2)C1,0.64,0.18,CHEMBL,CHEMBL
CN1CCN(C(=O)c2cnccn2)C(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)[nH]2)C1,CN1CCN(C(=O)c2cnccn2)C(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)[nH]2)C1,0.46,0.1,CHEMBL,CHEMBL
CN1CCN(C(=O)C[C@H](NC(=O)/C=C/c2cc(Cl)ccc2-n2cnnn2)c2nc(-c3ccc4[nH]c(=O)cc(O)c4c3)c(Cl)[nH]2)CC1,CN1CCN(C(=O)CC(NC(=O)C=Cc2cc(Cl)ccc2-n2cnnn2)c2nc(-c3ccc4[nH]c(=O)cc(O)c4c3)c(Cl)[nH]2)CC1,2.94,0.08,CHEMBL,CHEMBL
CN1CCN(C(=O)Nc2cccc(-c3ccc4c(c3)sc3c(N)ncnc34)c2)CC1,CN1CCN(C(=O)Nc2cccc(-c3ccc4c(c3)sc3c(N)ncnc34)c2)CC1,3.87,0.037,CHEMBL,CHEMBL
CN1CCN(C)C(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)C1,CN1CCN(C)C(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)C1,0.47,0.28,CHEMBL,CHEMBL
CN1CCN(CC1)C1=NC2=C(NC3=C1C=CC=C3)C=CC(Cl)=C2,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,3.23,0.05,HTTK,HTTK
CN1CCN(CC1)C1=C(F)C=C2C(=O)C(=CN(CCF)C2=C1F)C(O)=O,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,0.24,0.73,HTTK,HTTK
N#Cc1ccc(cc1)c1cc(nc(=N)[nH]1)N1CCN(CC1)C,CN1CCN(c2cc(-c3ccc(C#N)cc3)[nH]c(=N)n2)CC1,1.35,0.65,,Watanabe
CN1CCN(CC1)c1cc([nH]c(=N)n1)c1ccccc1,CN1CCN(c2cc(-c3ccccc3)[nH]c(=N)n2)CC1,1.48,0.51,,Watanabe
CN1CCN(c2cc(Cl)c3nc(Nc4ccc(Br)cn4)[nH]c3c2)CC1,CN1CCN(c2cc(Cl)c3nc(Nc4ccc(Br)cn4)[nH]c3c2)CC1,3.87,0.301,CHEMBL,CHEMBL
CN1CCN(c2cc(F)c3c(c2)N(C)C(=O)C32CCN(c3nc4c(c(=O)[nH]3)CCCN4C)CC2)CC1,CN1CCN(c2cc(F)c3c(c2)N(C)C(=O)C32CCN(c3nc4c(c(=O)[nH]3)CCCN4C)CC2)CC1,1.56,0.004,CHEMBL,CHEMBL
CN1CCN(CC1)c1cc2c(cc1F)[nH]cc(c2=Nc1ccc(cc1F)F)C(=N)O,CN1CCN(c2cc3c(=Nc4ccc(F)cc4F)c(C(=N)O)c[nH]c3cc2F)CC1,3.25,0.24,,Watanabe
CN1CCN(CC1)c1cc2c(cc1F)[nH]cc(c2=Nc1cccc(c1Cl)Cl)C(=N)O,CN1CCN(c2cc3c(=Nc4cccc(Cl)c4Cl)c(C(=N)O)c[nH]c3cc2F)CC1,4.28,0.044,,Watanabe
CN1CCN(c2ccc(C3CC(c4ccc([N+](=O)[O-])o4)=NO3)cc2)C(=O)C1,CN1CCN(c2ccc(C3CC(c4ccc([N+](=O)[O-])o4)=NO3)cc2)C(=O)C1,2.33,0.426,CHEMBL,CHEMBL
CN1CCN(c2ccc(C3CC(c4ccc([N+](=O)[O-])o4)=NO3)cc2F)C(=O)C1,CN1CCN(c2ccc(C3CC(c4ccc([N+](=O)[O-])o4)=NO3)cc2F)C(=O)C1,2.47,0.391,CHEMBL,CHEMBL
CN1CCN(c2ccc(C3CC(c4ccc([N+](=O)[O-])o4)=NO3)cn2)C(=O)C1,CN1CCN(c2ccc(C3CC(c4ccc([N+](=O)[O-])o4)=NO3)cn2)C(=O)C1,1.73,0.511,CHEMBL,CHEMBL
CN1CCN(c2ccc(-c3ccc4c(c3)CCNC4)cc2C(F)(F)F)CC1,CN1CCN(c2ccc(-c3ccc4c(c3)CCNC4)cc2C(F)(F)F)CC1,3.77,0.11,CHEMBL,CHEMBL
CN1CCN(c2ccc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cc2)CC1,CN1CCN(c2ccc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cc2)CC1,4.19,0.09,CHEMBL,CHEMBL
CN1CCN(c2ccc(NC(=O)c3cc(N(C)Cc4ccc(C(F)(F)F)cc4)ncn3)cc2)CC1,CN1CCN(c2ccc(NC(=O)c3cc(N(C)Cc4ccc(C(F)(F)F)cc4)ncn3)cc2)CC1,4.14,0.0014,CHEMBL,CHEMBL
CN1CCN(c2ccc(Nc3ccc4c(Nc5cnccn5)ccnc4c3)cc2)CC1,CN1CCN(c2ccc(Nc3ccc4c(Nc5cnccn5)ccnc4c3)cc2)CC1,4.26,0.29,CHEMBL,CHEMBL
CN1CCN(c2ccc(S(=O)(=O)NCc3ccc(C(=O)Nc4cccnc4)cc3)cc2)CC1,CN1CCN(c2ccc(S(=O)(=O)NCc3ccc(C(=O)Nc4cccnc4)cc3)cc2)CC1,2.56,0.148,CHEMBL,CHEMBL
CN1CCN(CC1)c1ccc2c(c1)c(=Nc1ccc(c(c1)Cl)Cl)c(c[nH]2)C(=N)O,CN1CCN(c2ccc3[nH]cc(C(=N)O)c(=Nc4ccc(Cl)c(Cl)c4)c3c2)CC1,4.14,0.058,,Watanabe
CN1CCN(CC1)c1ccc2c(c1)c(=Nc1ccc(cc1Cl)Cl)c(c[nH]2)C(=N)O,CN1CCN(c2ccc3[nH]cc(C(=N)O)c(=Nc4ccc(Cl)cc4Cl)c3c2)CC1,,0.018,,Watanabe
CN1CCN(CC1)c1ccc2c(c1)c(=Nc1ccc(cc1F)F)c(c[nH]2)C(=N)O,CN1CCN(c2ccc3[nH]cc(C(=N)O)c(=Nc4ccc(F)cc4F)c3c2)CC1,3.11,0.26,,Watanabe
CN1CCN(CC1)c1ccc2c(c1)c(=Nc1cccc(c1Cl)Cl)c(c[nH]2)C(=N)O,CN1CCN(c2ccc3[nH]cc(C(=N)O)c(=Nc4cccc(Cl)c4Cl)c3c2)CC1,,0.046,,Watanabe
CN1CCN(c2ccc3nc(N)n(CC(O)c4ccc(C(F)(F)F)cc4Cl)c3n2)CC1,CN1CCN(c2ccc3nc(N)n(CC(O)c4ccc(C(F)(F)F)cc4Cl)c3n2)CC1,3.17,0.234,CHEMBL,CHEMBL
CN1CCN(c2ccc3nc(Nc4ccc(Br)cn4)[nH]c3c2)CC1,CN1CCN(c2ccc3nc(Nc4ccc(Br)cn4)[nH]c3c2)CC1,3.22,0.115,CHEMBL,CHEMBL
CN1CCN(C2CCN(C(=O)[C@H](CC(=O)N3CCC(N4CCc5ccccc5NC4=O)CC3)Cc3cc(Cl)c(N)c(C(F)(F)F)c3)CC2)CC1,CN1CCN(C2CCN(C(=O)C(CC(=O)N3CCC(N4CCc5ccccc5NC4=O)CC3)Cc3cc(Cl)c(N)c(C(F)(F)F)c3)CC2)CC1,4.81,0.1,CHEMBL,CHEMBL
CN1CCN(CC1)c1nc(=N)[nH]c2c1CCc1c2cccc1,CN1CCN(c2nc(=N)[nH]c3c2CCc2ccccc2-3)CC1,1.58,0.22,,Watanabe
CN1CCN(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c3ncccc23)CC1,CN1CCN(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c3ncccc23)CC1,2.16,0.021,CHEMBL,CHEMBL
CN1CCN(c2ncc(-c3ccc4c(NC5CCCCC5)ccnc4c3)cn2)CC1,CN1CCN(c2ncc(-c3ccc4c(NC5CCCCC5)ccnc4c3)cn2)CC1,4.19,0.15,CHEMBL,CHEMBL
CN1CCN(c2ncc(-c3ccc4c(N[C@@H]5CCCC[C@H]5O)ccnc4c3)cn2)CC1,CN1CCN(c2ncc(-c3ccc4c(NC5CCCCC5O)ccnc4c3)cn2)CC1,3.16,0.37,CHEMBL,CHEMBL
CN1CCN(c2ncc(-c3ccc4c(NC5CCOCC5)ccnc4c3)cn2)CC1,CN1CCN(c2ncc(-c3ccc4c(NC5CCOCC5)ccnc4c3)cn2)CC1,3.03,0.5,CHEMBL,CHEMBL
CN1CCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,CN1CCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,2.98,0.13,CHEMBL,CHEMBL
CN1CCN(c2ncc(-c3ccc4c(NCC5CCOCC5)ccnc4c3)cn2)CC1,CN1CCN(c2ncc(-c3ccc4c(NCC5CCOCC5)ccnc4c3)cn2)CC1,3.28,0.53,CHEMBL,CHEMBL
CN1CCN(c2ncc(-c3ccc4c(NCCN5CCCC5)ccnc4c3)cn2)CC1,CN1CCN(c2ncc(-c3ccc4c(NCCN5CCCC5)ccnc4c3)cn2)CC1,2.95,0,CHEMBL,CHEMBL
CN1CCN(c2ncc(Nc3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,CN1CCN(c2ncc(Nc3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,3.05,0.12,CHEMBL,CHEMBL
CN1CCN(CC(=O)Nc2ccc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)c3sc4ccccc4c23)CC1,CN1CCN(CC(=O)Nc2ccc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)c3sc4ccccc4c23)CC1,4.85,0.036,CHEMBL,CHEMBL
CN1CCN(C[C@@H](NC(=O)C[C@H]2CNC(=O)c3cc(-c4cccc(Cl)c4)cn32)C2CCCCC2)CC1,CN1CCN(CC(NC(=O)CC2CNC(=O)c3cc(-c4cccc(Cl)c4)cn32)C2CCCCC2)CC1,3.8,0.03,CHEMBL,CHEMBL
CN1CCN(Cc2ccc(NC(=O)CNc3ccc(-c4ccc(NC(=O)C5CC5)nc4)cc3F)cc2C(F)(F)F)CC1,CN1CCN(Cc2ccc(NC(=O)CNc3ccc(-c4ccc(NC(=O)C5CC5)nc4)cc3F)cc2C(F)(F)F)CC1,5.05,0.0022,CHEMBL,CHEMBL
CN1CCN(Cc2ccc3nc(Nc4ccc(C(F)(F)F)cn4)[nH]c3c2)CC1,CN1CCN(Cc2ccc3nc(Nc4ccc(C(F)(F)F)cn4)[nH]c3c2)CC1,3.47,0.275,CHEMBL,CHEMBL
CN1CCN(CCCC(=O)c2ccc(-c3ccc(N4C[C@H](Cn5ccnn5)OC4=O)cc3F)cn2)CC1,CN1CCN(CCCC(=O)c2ccc(-c3ccc(N4CC(Cn5ccnn5)OC4=O)cc3F)cn2)CC1,2.71,0.5,CHEMBL,CHEMBL
CN1CCN(CCN(C)C2COc3ccccc3-c3c(C4CCCCC4)c4ccc(C(=O)O)cc4n3C2)CC1,CN1CCN(CCN(C)C2COc3ccccc3-c3c(C4CCCCC4)c4ccc(C(=O)O)cc4n3C2)CC1,4.99,0.011,CHEMBL,CHEMBL
CN1CCN(Nc2ncc(Nc3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,CN1CCN(Nc2ncc(Nc3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,2.88,0.49,CHEMBL,CHEMBL
CN1CCN(S(=O)(=O)C[C@@H](N2C(=O)[C@@](C)(CC(=O)O)C[C@H](c3cccc(Cl)c3)[C@H]2c2ccc(Cl)cc2)C(C)(C)C)CC1,CN1CCN(S(=O)(=O)CC(N2C(=O)C(C)(CC(=O)O)CC(c3cccc(Cl)c3)C2c2ccc(Cl)cc2)C(C)(C)C)CC1,5.52,,CHEMBL,
CN1CCN(S(=O)(=O)N(C)C)CC1(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,CN1CCN(S(=O)(=O)N(C)C)CC1(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,-0.18,0.19,CHEMBL,CHEMBL
CN1CCN(S(=O)(=O)N(C)C)CC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,CN1CCN(S(=O)(=O)N(C)C)CC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,-0.35,0.2,CHEMBL,CHEMBL
CN1CCN(S(C)(=O)=O)CC1(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,CN1CCN(S(C)(=O)=O)CC1(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,-0.02,0.04,CHEMBL,CHEMBL
CN1CCN(S(C)(=O)=O)CC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,CN1CCN(S(C)(=O)=O)CC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,-0.2,0.31,CHEMBL,CHEMBL
CN1CCN=C1c1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(Cl)cn2)cc1,CN1CCN=C1c1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(Cl)cn2)cc1,3.93,0.18,CHEMBL,CHEMBL
CN1CCN=C1c1ccc(CCNC(=O)C[C@@H]2C(=O)Nc3ccc(Cl)cc3N2S(=O)(=O)c2ccc3ccccc3c2)cc1,CN1CCN=C1c1ccc(CCNC(=O)CC2C(=O)Nc3ccc(Cl)cc3N2S(=O)(=O)c2ccc3ccccc3c2)cc1,4.45,0.083,CHEMBL,CHEMBL
CN1CCN2C(C1)C1=CC=CC=C1CC1=C2C=CC=C1,CN1CCN2c3ccccc3Cc3ccccc3C2C1,4.24,0.05,HTTK,HTTK
CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1,CN1CCN2c3ncccc3Cc3ccccc3C2C1,1.53,0.15,HTTK,HTTK
CN1CCNC(=O)COc2ccc(Cl)cc2C(=O)N2CCCC[C@H]2c2cc3nc([C@H]4C[C@H](O)C4)cc1n3n2,CN1CCNC(=O)COc2ccc(Cl)cc2C(=O)N2CCCCC2c2cc3nc(C4CC(O)C4)cc1n3n2,2.93,0.093,CHEMBL,CHEMBL
CN1CCNC(=O)COc2ccc(F)cc2C(=O)N2CCCC[C@H]2c2cc3nc(N4CCC4)cc1n3n2,CN1CCNC(=O)COc2ccc(F)cc2C(=O)N2CCCCC2c2cc3nc(N4CCC4)cc1n3n2,2.39,0.13,CHEMBL,CHEMBL
Cn1ccnc1[C@]1(CNC(=O)c2cc3cc(C(F)(F)F)ccc3o2)NC(=O)NC1=O,Cn1ccnc1C1(CNC(=O)c2cc3cc(C(F)(F)F)ccc3o2)NC(=O)NC1=O,1.65,0.245,CHEMBL,CHEMBL
CN1CCOCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,CN1CCOCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,0.56,0.305,CHEMBL,CHEMBL
CN1CCOCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C.Cl,CN1CCOCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C.Cl,0.56,0.225,CHEMBL,CHEMBL
CN1CCOCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C.O=C(O)C(F)(F)F,CN1CCOCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C.O=C(O)C(F)(F)F,0.56,0.3,CHEMBL,CHEMBL
CN1CCSCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,CN1CCSCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,1.27,0.17,CHEMBL,CHEMBL
CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,0.1,0.32,HTTK,HTTK
