SMILES,SMILES_rdkit_final,logP,fu_in_vitro,REF_logP,REF_Fup
C[N+]12CCC(c3ccc(-c4cc(C(=O)O)cc5cc(-c6ccc(C(F)(F)F)cc6)ccc45)cc3)(CC1)CC2,C[N+]12CCC(c3ccc(-c4cc(C(=O)O)cc5cc(-c6ccc(C(F)(F)F)cc6)ccc45)cc3)(CC1)CC2,7.77,0.0113,CHEMBL,CHEMBL
C[N+]12CCC(CC1)[C@@H](OC(=O)C1(C3=CC=CC3)CCCCCC1)C2,C[N+]12CCC(CC1)C(OC(=O)C1(C3=CC=CC3)CCCCCC1)C2,4,0.27,CHEMBL,CHEMBL
C[S+]([O-])CCN1C(=O)C(NC(=O)c2cc3cc(Cl)sc3[nH]2)Cc2ccccc21,C[S+]([O-])CCN1C(=O)C(NC(=O)c2cc3cc(Cl)sc3[nH]2)Cc2ccccc21,2.95,0.9889,CHEMBL,CHEMBL
C[Si]1(C)CCN(C(=O)c2cc(-c3ccc(Cl)cc3)n(-c3ccc(Cl)cc3)n2)CC1,C[Si]1(C)CCN(C(=O)c2cc(-c3ccc(Cl)cc3)n(-c3ccc(Cl)cc3)n2)CC1,,0.0001,,CHEMBL
C[Si]1(C)CCN(Cc2cc(-c3ccc(Cl)cc3)n(-c3ccc(Cl)cc3)n2)CC1,C[Si]1(C)CCN(Cc2cc(-c3ccc(Cl)cc3)n(-c3ccc(Cl)cc3)n2)CC1,,0.0007,,CHEMBL
C[Si]1(C)CCN(Cc2nn(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)c2CO)CC1,C[Si]1(C)CCN(Cc2nn(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)c2CO)CC1,,0.0004,,CHEMBL
C[Si]1(C)CCN(NCc2cc(-c3ccc(Cl)cc3)n(-c3ccc(Cl)cc3)n2)CC1,C[Si]1(C)CCN(NCc2cc(-c3ccc(Cl)cc3)n(-c3ccc(Cl)cc3)n2)CC1,,0.0069,,CHEMBL
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O,5.85,0.1,CHEMBL,CHEMBL
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)Cc6sc(N)nc6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)Cc6sc(N)nc6C(C)(C)C5CCC43C)C12,7.48,0.042,CHEMBL,CHEMBL
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(OC(=O)CC(C)(C)C(=O)O)C(C)(C)C5CCC43C)C12,8.14,0.977,CHEMBL,CHEMBL
C=C(/C=C/c1ccc([N+](=O)[O-])cc1)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,C=C(C=Cc1ccc([N+](=O)[O-])cc1)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,8.69,0.6812,CHEMBL,CHEMBL
C=C(/C=C/c1cccc(Cl)c1)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,C=C(C=Cc1cccc(Cl)c1)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,9.44,0.7897,CHEMBL,CHEMBL
C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,C=C(F)C(=O)N1CCN(c2nc(OCC3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)CC1CC#N,4.73,0.017,CHEMBL,CHEMBL
C=C(F)COc1ccc(Cl)cc1[C@H]1C[C@@H]1CN.Cl,C=C(F)COc1ccc(Cl)cc1C1CC1CN.Cl,3.26,0.32,CHEMBL,CHEMBL
CC(CCCC(C)(C)O)C1CCC2C(CCCC12C)=CC=C1CC(O)CC(O)C1=C,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,6.47,0,HTTK,HTTK
NC1=NC2=C(N=CN2C2CC(O)C(CO)C2=C)C(=O)N1,C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(N)nc21,-0.6,0.87,HTTK,
COC1C(CC(O)CN)OC2CC3OC(CC(C)C3=C)CCC3OC(CC3=C)CCC34CC5OC6C(OC7CCC(CC(=O)CC12)OC7C6O3)C5O4,C=C1CC2CCC34CC5OC6C(OC7CCC(CC(=O)CC8C(CC9OC(CCC1O2)CC(C)C9=C)OC(CC(O)CN)C8OC)OC7C6O3)C5O4,2.57,0.43,HTTK,HTTK
CC(C)CCCC(C)C1CCC2C(CCCC12C)=CC=C1CC(O)CCC1=C,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,8.37,0.35,HTTK,
